"Name";"Edition";"Rarity";"Color";"Cost";"P/T";"Type";"Text";"Flavor"
"Soratami Cloud Chariot";"SOK";"U";"Art";"5";"";"Artifact";"%2: Target creature you control gains flying until end of turn.
%2: Prevent all combat damage that would be dealt to and dealt by target creature you control this turn.";""
"Spiraling Embers";"SOK";"C";"R";"3R";"";"Sorcery - Arcane";"Spiraling Embers deals damage to target creature or player equal to the number of cards in your hand.";""
"Spiritual Visit";"SOK";"C";"W";"W";"";"Instant - Arcane";"Put a 1/1 colorless Spirit creature token onto the battlefield.
Splice onto Arcane %W #(As you cast an Arcane spell, you may reveal this card from your hand and pay its splice cost. If you do, add this card’s effects to that spell.)#";""
"Sunder from Within";"SOK";"U";"R";"2RR";"";"Sorcery - Arcane";"Destroy target artifact or land.";""
"Thoughts of Ruin";"SOK";"R";"R";"2RR";"";"Sorcery";"Each player sacrifices a land for each card in your hand.";""
"Tomb of Urami";"SOK";"R";"Lnd";"";"";"Legendary Land";"%T: Add %B to your mana pool. Tomb of Urami deals 1 damage to you if you don’t control an Ogre.
%2%B%B, %T, Sacrifice all lands you control: Put a legendary 5/5 black Demon Spirit creature token with flying named Urami onto the battlefield.";""
"Circle of Protection: Art";"ARE";"";"W";"1W";"";"Enchantment";"As Circle of Protection: Art comes into play, choose an artist.
%1%W: The next time a source of your choice by the chosen artist would deal damage to you this turn, prevent that damage.
%1%W: Return Circle of Protection: Art to its owner’s hand.";""
"Mise";"ARE";"";"U";"U";"";"Instant";"Name a nonland card, then reveal the top card of your library. If that card is the named card, draw three cards.";""
"Booster Tutor";"ARE";"";"B";"B";"";"Instant";"Open a sealed <b>Magic</b> booster pack, reveal the cards, and put one of those cards into your hand. #(Remove that card from your deck before beginning a new game.)#";""
"Granny's Payback";"ARE";"";"G";"7G";"";"Sorcery";"You gain life equal to your age.";""
"Ashnod's Coupon";"ARE";"";"Art";"0";"";"Artifact";"%T, Sacrifice Ashnod’s Coupon: Target player gets you target drink.
Errata: You pay any costs for the drink.";""
"Forest (2006)";"ARE";"";"Lnd";"";"";"Basic Land - Forest";"";""
"Mind Control";"M10";"U";"U";"3UU";"";"Enchantment - Aura";"Enchant creature
You control enchanted creature.";""
"Mind Spring";"M10";"R";"U";"XUU";"";"Sorcery";"Draw X cards.";""
"Negate";"M10";"C";"U";"1U";"";"Instant";"Counter target noncreature spell.";""
"Polymorph";"M10";"R";"U";"3U";"";"Sorcery";"Destroy target creature. It can’t be regenerated. Its controller reveals cards from the top of his or her library until he or she reveals a creature card. The player puts that card onto the battlefield, then shuffles all other cards revealed this way into his or her library.";""
"Ponder";"M10";"C";"U";"U";"";"Sorcery";"Look at the top three cards of your library, then put them back in any order. You may shuffle your library.
Draw a card.";""
"Sleep";"M10";"U";"U";"2UU";"";"Sorcery";"Tap all creatures target player controls. Those creatures don’t untap during that player’s next untap step.";""
"Thunderstaff";"DS";"U";"Art";"3";"";"Artifact";"As long as Thunderstaff is untapped, if a creature would deal combat damage to you, prevent 1 of that damage.
%2, %T: Attacking creatures get +1/+0 until end of turn.";""
"Thwart";"MM";"U";"U";"2UU";"";"Instant";"You may return three islands you control to their owner’s hand rather than pay Thwart’s mana cost.
Counter target spell.";""
"Opal Acrolith";"US";"U";"W";"2W";"";"Enchantment";"Whenever an opponent casts a creature spell, if Opal Acrolith is an enchantment, Opal Acrolith becomes a 2/4 Soldier creature.
%0: Opal Acrolith becomes an enchantment.";""
"Opal Avenger";"UL";"R";"W";"2W";"";"Enchantment";"When you have 10 or less life, if Opal Avenger is an enchantment, Opal Avenger becomes a 3/5 Soldier creature.";""
"Opal Caryatid";"US";"C";"W";"W";"";"Enchantment";"When an opponent casts a creature spell, if Opal Caryatid is an enchantment, Opal Caryatid becomes a 2/2 Soldier creature.";""
"Opal Champion";"UL";"C";"W";"2W";"";"Enchantment";"When an opponent casts a creature spell, if Opal Champion is an enchantment, Opal Champion becomes a 3/3 Knight creature with first strike.";""
"Opal Gargoyle";"US";"C";"W";"1W";"";"Enchantment";"When an opponent casts a creature spell, if Opal Gargoyle is an enchantment, Opal Gargoyle becomes a 2/2 Gargoyle creature with flying.";""
"The Rack";"AQ";"U";"Art";"1";"";"Artifact";"As The Rack enters the battlefield, choose an opponent.
At the beginning of the chosen player’s upkeep, The Rack deals X damage to that player, where X is 3 minus the number of cards in his or her hand.";""
"The Tabernacle at Pendrell Vale";"LG";"R";"Lnd";"";"";"Legendary Land";"All creatures have “At the beginning of your upkeep, destroy this creature unless you pay %1.”";""
"The Ultimate Nightmare of Wizards of the Coast® Customer Service";"UG";"U";"U";"XYZRR";"";"Sorcery";"The Ultimate Nightmare of Wizards of the Coast® Customer Service deals X damage to each of Y target creatures and Z target players.";""
"Theft of Dreams";"PT";"U";"U";"2U";"";"Sorcery";"Draw a card for each tapped creature target opponent controls.";""
"Theft of Dreams";"EX";"C";"U";"2U";"";"Sorcery";"Draw a card for each tapped creature target opponent controls.";""
"Theft of Dreams";"P2";"U";"U";"2U";"";"Sorcery";"Draw a card for each tapped creature target opponent controls.";""
"Sleight of Mind";"B";"R";"U";"U";"";"Instant";"Change the text of target spell or permanent by replacing all instances of one color word with another. #(For example, you may change “target black spell” to “target blue spell.” This effect lasts indefinitely.)#";""
"Sleight of Mind";"4E";"R";"U";"U";"";"Instant";"Change the text of target spell or permanent by replacing all instances of one color word with another. #(For example, you may change “target black spell” to “target blue spell.” This effect lasts indefinitely.)#";""
"Sleight of Mind";"IA";"U";"U";"U";"";"Instant";"Change the text of target spell or permanent by replacing all instances of one color word with another. #(For example, you may change “target black spell” to “target blue spell.” This effect lasts indefinitely.)#";""
"Sleight of Mind";"A";"R";"U";"U";"";"Instant";"Change the text of target spell or permanent by replacing all instances of one color word with another. #(For example, you may change “target black spell” to “target blue spell.” This effect lasts indefinitely.)#";""
"Boomerang";"7E";"C";"U";"UU";"";"Instant";"Return target permanent to its owner’s hand.";""
"Baton of Courage";"FD";"C";"Art";"3";"";"Artifact";"Flash
Sunburst #(This enters the battlefield with a charge counter on it for each color of mana spent to cast it.)#
Remove a charge counter from Baton of Courage: Target creature gets +1/+1 until end of turn.";""
"Beacon of Creation";"FD";"R";"G";"3G";"";"Sorcery";"Put a 1/1 green Insect creature token onto the battlefield for each Forest you control. Shuffle Beacon of Creation into its owner’s library.";""
"Beacon of Destruction";"FD";"R";"R";"3RR";"";"Instant";"Beacon of Destruction deals 5 damage to target creature or player. Shuffle Beacon of Destruction into its owner’s library.";""
"Hostile Realm";"MOR";"C";"R";"2R";"";"Enchantment - Aura";"Enchant land
Enchanted land has “%T: Target creature can’t block this turn.”";""
"Hunting Triad";"MOR";"U";"G";"3G";"";"Tribal Sorcery - Elf";"Put three 1/1 green Elf Warrior creature tokens onto the battlefield.
Reinforce 3—%3%G #(%3%G, Discard this card: Put three +1/+1 counters on target creature.)#";""
"Idyllic Tutor";"MOR";"R";"W";"2W";"";"Sorcery";"Search your library for an enchantment card, reveal it, and put it into your hand. Then shuffle your library.";""
"Kindled Fury";"MOR";"C";"R";"R";"";"Instant";"Target creature gets +1/+0 and gains first strike until end of turn. #(It deals combat damage before creatures without first strike.)#";""
"Knowledge Exploitation";"MOR";"R";"U";"5UU";"";"Tribal Sorcery - Rogue";"Prowl %3%U #(You may cast this for its prowl cost if you dealt combat damage to a player this turn with a Rogue.)#
Search target opponent’s library for an instant or sorcery card. You may cast that card without paying its mana cost. Then that player shuffles his or her library.";""
"Luminescent Rain";"MOR";"C";"G";"2G";"";"Instant";"Choose a creature type. You gain 2 life for each permanent you control of that type.";""
"Mind Shatter";"MOR";"R";"B";"XBB";"";"Sorcery";"Target player discards X cards at random.";""
"Rootgrapple";"LRW";"C";"G";"4G";"";"Tribal Instant - Treefolk";"Destroy target noncreature permanent. If you control a Treefolk, draw a card.";""
"Runed Stalactite";"LRW";"C";"Art";"1";"";"Artifact - Equipment";"Equipped creature gets +1/+1 and is every creature type.
Equip %2";""
"Scattering Stroke";"LRW";"U";"U";"2UU";"";"Instant";"Counter target spell. Clash with an opponent. If you win, at the beginning of your next main phase, you may add %X to your mana pool, where X is that spell’s converted mana cost. #(Each clashing player reveals the top card of his or her library, then puts that card on the top or bottom. A player wins if his or her card had a higher converted mana cost.)#";""
"Secluded Glen";"LRW";"R";"Lnd";"";"";"Land";"As Secluded Glen enters the battlefield, you may reveal a Faerie card from your hand. If you don’t, Secluded Glen enters the battlefield tapped.
%T: Add %U or %B to your mana pool.";""
"Shelldock Isle";"LRW";"R";"Lnd";"";"";"Land";"Hideaway #(This land enters the battlefield tapped. When it does, look at the top four cards of your library, exile one face down, then put the rest on the bottom of your library.)#
%T: Add %U to your mana pool.
%U, %T: You may play the exiled card without paying its mana cost if a library has twenty or fewer cards in it.";""
"Swamp (2)";"LRW";"C";"Lnd";"";"";"Basic Land - Swamp";"";""
"Swamp (3)";"LRW";"C";"Lnd";"";"";"Basic Land - Swamp";"";""
"Swamp (4)";"LRW";"C";"Lnd";"";"";"Basic Land - Swamp";"";""
"Sylvan Echoes";"LRW";"U";"G";"G";"";"Enchantment";"Whenever you clash and win, you may draw a card. #(This ability triggers after the clash ends.)#";""
"Eye to Eye";"UNH";"U";"B";"2B";"";"Instant";"You and target creature’s controller have a staring contest. If you win, destroy that creature.";""
"Face to Face";"UNH";"U";"R";"1R";"";"Sorcery";"You and target opponent play a best two-out-of-three Rock, Paper, Scissors match. If you win, Face to Face deals 5 damage to that opponent.";""
"Farewell to Arms";"UNH";"C";"B";"1BB";"";"Enchantment";"As Farewell to Arms comes into play, choose a hand attached to an opponent’s arm.
When the chosen hand isn’t behind its owner’s back, sacrifice Farewell to Arms. If you do, that player discards his or her hand... of cards. #(The lawyers wouldn’t let us do it the other way.)#";""
"First Come, First Served";"UNH";"U";"W";"1W";"";"Enchantment";"The attacking or blocking creature with the lowest collector number has first strike. If two or more creatures are tied, they all have first strike.";""
"Flaccify";"UNH";"C";"U";"2U";"";"Instant";"Counter target spell unless its controller pays %3%H.";""
"Form of the Squirrel";"UNH";"R";"G";"G";"";"Enchantment";"As Form of the Squirrel comes into play, put a 1/1 green Squirrel creature token into play. You lose the game when it leaves play.
Creatures can’t attack you.
You can’t be the target of spells or abilities.
You can’t play spells.";""
"Framed!";"UNH";"C";"U";"1U";"";"Instant";"Tap or untap all permanents by the artist of your choice.";""
"Gleemax";"UNH";"R";"Art";"1000000";"";"Legendary Artifact";"You choose all targets for all spells and abilities.";""
"Granny's Payback";"UNH";"U";"G";"7G";"";"Sorcery";"You gain life equal to your age.";""
"Graphic Violence";"UNH";"C";"G";"2G";"";"Instant";"All creatures by the artist of your choice get +2/+2 and gain trample until end of turn.";""
"Island (1)";"CHK";"C";"Lnd";"";"";"Basic Land - Island";"";""
"Thoughtleech";"7E";"U";"G";"GG";"";"Enchantment";"Whenever an Island an opponent controls becomes tapped, you may gain 1 life.";""
"Thelon's Chant";"FE";"U";"G";"1GG";"";"Enchantment";"At the beginning of your upkeep, sacrifice Thelon’s Chant unless you pay %G.
Whenever a player puts a Swamp onto the battlefield, Thelon’s Chant deals 3 damage to that player unless he or she puts a -1/-1 counter on a creature he or she controls.";""
"Stream of Life";"5E";"C";"G";"XG";"";"Sorcery";"Target player gains X life.";""
"Vision Charm";"VI";"C";"U";"U";"";"Instant";"Choose one — Target player puts the top four cards of his or her library into his or her graveyard; or choose a land type and a basic land type, and each land of the first chosen type becomes the second chosen type until end of turn; or target artifact phases out. #(While it’s phased out, it’s treated as though it doesn’t exist. It phases in before its controller untaps during his or her next untap step.)#";""
"Visions";"4E";"U";"W";"W";"";"Sorcery";"Look at the top five cards of target player’s library. You may then have that player shuffle that library.";""
"Visions";"LG";"U";"W";"W";"";"Sorcery";"Look at the top five cards of target player’s library. You may then have that player shuffle that library.";""
"Vitality Charm";"ON";"C";"G";"G";"";"Instant";"Choose one — Put a 1/1 green Insect creature token onto the battlefield; or target creature gets +1/+1 and gains trample until end of turn; or regenerate target Beast.";""
"Vitalize";"6E";"C";"G";"G";"";"Instant";"Untap all creatures you control.";""
"Vitalize";"WL";"C";"G";"G";"";"Instant";"Untap all creatures you control.";""
"Vitalizing Cascade";"MI";"U";"Gld";"XGW";"";"Instant";"You gain X plus 3 life.";""
"Vitalizing Wind";"PY";"R";"G";"8G";"";"Instant";"Creatures you control get +7/+7 until end of turn.";""
"Vivify";"OD";"U";"G";"2G";"";"Instant";"Target land becomes a 3/3 creature until end of turn. It’s still a land.
Draw a card.";""
"Void";"IN";"R";"Gld";"3BR";"";"Sorcery";"Choose a number. Destroy all artifacts and creatures with converted mana cost equal to that number. Then target player reveals his or her hand and discards all nonland cards with converted mana cost equal to the number.";""
"Web";"4E";"R";"G";"G";"";"Enchantment - Aura";"Enchant creature #(Target a creature as you cast this. This card enters the battlefield attached to that creature.)#
Enchanted creature gets +0/+2 and has reach. #(It can block creatures with flying.)#";""
"Web of Inertia";"JU";"U";"U";"2U";"";"Enchantment";"At the beginning of each opponent’s combat, that player may exile a card from his or her graveyard. If the player doesn’t, creatures he or she controls can’t attack you this turn.";""
"Bonesplitter";"ARE";"";"Art";"1";"";"Artifact - Equipment";"Equipped creature gets +2/+0.
Equip %1 #(%1: Attach to target creature you control. Equip only as a sorcery. This card enters the battlefield unattached and stays on the battlefield if the creature leaves.)#";""
"Shieldmate's Blessing";"ZEN";"C";"W";"W";"";"Instant";"Prevent the next 3 damage that would be dealt to target creature or player this turn.";""
"Sunspring Expedition";"ZEN";"C";"W";"W";"";"Enchantment";"#Landfall# — Whenever a land enters the battlefield under your control, you may put a quest counter on Sunspring Expedition.
Remove three quest counters from Sunspring Expedition and sacrifice it: You gain 8 life.";""
"Windborne Charge";"ZEN";"U";"W";"2WW";"";"Sorcery";"Two target creatures you control each get +2/+2 and gain flying until end of turn.";""
"Archive Trap";"ZEN";"R";"U";"3UU";"";"Instant - Trap";"If an opponent searched his or her library this turn, you may pay %0 rather than pay Archive Trap’s mana cost.
Target opponent puts the top thirteen cards of his or her library into his or her graveyard.";""
"Archmage Ascension";"ZEN";"R";"U";"2U";"";"Enchantment";"At the beginning of each end step, if you drew two or more cards this turn, you may put a quest counter on Archmage Ascension.
As long as Archmage Ascension has six or more quest counters on it, if you would draw a card, you may instead search your library for a card, put that card into your hand, then shuffle your library.";""
"Cancel";"ZEN";"C";"U";"1UU";"";"Instant";"Counter target spell.";""
"Malicious Advice";"PS";"C";"Gld";"XUB";"";"Instant";"Tap X target artifacts, creatures, and/or lands. You lose X life.";""
"Malignant Growth";"MI";"R";"Gld";"3GU";"";"Enchantment";"Cumulative upkeep %1 #(At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)#
At the beginning of your upkeep, put a growth counter on Malignant Growth.
At the beginning of each opponent’s draw step, that player draws an additional card for each growth counter on Malignant Growth, then Malignant Growth deals damage to the player equal to the number of cards he or she drew this way.";""
"Noxious Vapors";"PS";"U";"B";"1BB";"";"Sorcery";"Each player reveals his or her hand and chooses one card of each color from it, then discards all other nonland cards.";""
"Nuisance Engine";"MR";"U";"Art";"3";"";"Artifact";"%2, %T: Put a 0/1 colorless Pest artifact creature token onto the battlefield.";""
"Null Brooch";"EX";"R";"Art";"4";"";"Artifact";"%2, %T, Discard your hand: Counter target noncreature spell.";""
"Null Chamber";"MI";"R";"W";"3W";"";"World Enchantment";"As Null Chamber enters the battlefield, you and an opponent each name a card other than a basic land card.
The named cards can’t be played.";""
"Null Rod";"WL";"R";"Art";"2";"";"Artifact";"Activated abilities of artifacts can’t be activated.";""
"Oasis";"AN";"U";"Lnd";"";"";"Land";"%T: Prevent the next 1 damage that would be dealt to target creature this turn.";""
"Oasis";"4E";"U";"Lnd";"";"";"Land";"%T: Prevent the next 1 damage that would be dealt to target creature this turn.";""
"Rune of Protection: White";"US";"C";"W";"1W";"";"Enchantment";"%W: The next time a white source of your choice would deal damage to you this turn, prevent that damage.
Cycling %2 #(%2, Discard this card: Draw a card.)#";""
"Runed Arch";"IA";"R";"Art";"3";"";"Artifact";"Runed Arch enters the battlefield tapped.
%X, %T, Sacrifice Runed Arch: X target creatures with power 2 or less are unblockable this turn.";""
"Runesword";"CH";"C";"Art";"6";"";"Artifact";"%3, %T: Target attacking creature gets +2/+0 until end of turn. When that creature leaves the battlefield this turn, sacrifice Runesword. If the creature deals damage to a creature this turn, the creature dealt damage can’t be regenerated this turn. If a creature dealt damage by the targeted creature would die this turn, exile that creature instead.";""
"Runesword";"DK";"U";"Art";"6";"";"Artifact";"%3, %T: Target attacking creature gets +2/+0 until end of turn. When that creature leaves the battlefield this turn, sacrifice Runesword. If the creature deals damage to a creature this turn, the creature dealt damage can’t be regenerated this turn. If a creature dealt damage by the targeted creature would die this turn, exile that creature instead.";""
"Rupture";"NE";"U";"R";"2R";"";"Sorcery";"Sacrifice a creature. Rupture deals damage equal to that creature’s power to each creature without flying and each player.";""
"Rush of Knowledge";"SC";"C";"U";"4U";"";"Sorcery";"Draw cards equal to the highest converted mana cost among permanents you control.";""
"Rushing River";"PS";"C";"U";"2U";"";"Instant";"Kicker—Sacrifice a land. #(You may sacrifice a land in addition to any other costs as you cast this spell.)#
Return target nonland permanent to its owner’s hand. If Rushing River was kicked, return another target nonland permanent to its owner’s hand.";""
"Rushwood Grove";"MM";"U";"Lnd";"";"";"Land";"Rushwood Grove enters the battlefield tapped.
%T: Put a storage counter on Rushwood Grove.
%T, Remove any number of storage counters from Rushwood Grove: Add %G to your mana pool for each storage counter removed this way.";""
"Rust";"LG";"C";"G";"G";"";"Instant";"Counter target activated ability from an artifact source. #(Mana abilities can’t be targeted.)#";""
"Seat of the Synod";"MR";"C";"Lnd";"";"";"Artifact Land";"#(Seat of the Synod isn’t a spell.)#
%T: Add %U to your mana pool.";""
"Secluded Steppe";"ON";"C";"Lnd";"";"";"Land";"Secluded Steppe enters the battlefield tapped.
%T: Add %W to your mana pool.
Cycling %W #(%W, Discard this card: Draw a card.)#";""
"Second Chance";"UL";"R";"U";"2U";"";"Enchantment";"At the beginning of your upkeep, if you have 5 or less life, sacrifice Second Chance and take an extra turn after this one.";""
"Second Sight";"DS";"U";"U";"2U";"";"Instant";"Choose one — Look at the top five cards of target opponent’s library, then put them back in any order; or look at the top five cards of your library, then put them back in any order.
Entwine %U #(Choose both if you pay the entwine cost.)#";""
"Second Sunrise";"MR";"R";"W";"1WW";"";"Instant";"Each player returns to the battlefield all artifact, creature, enchantment, and land cards in his or her graveyard that were put there from the battlefield this turn.";""
"Second Thoughts";"OD";"C";"W";"4W";"";"Instant";"Exile target attacking creature.
Draw a card.";""
"Security Detail";"MM";"R";"W";"3W";"";"Enchantment";"%W%W: Put a 1/1 white Soldier creature token onto the battlefield. Activate this ability only if you control no creatures and only once each turn.";""
"Harrow";"IN";"C";"G";"2G";"";"Instant";"As an additional cost to cast Harrow, sacrifice a land.
Search your library for up to two basic land cards and put them onto the battlefield. Then shuffle your library.";""
"Harrow";"TE";"U";"G";"2G";"";"Instant";"As an additional cost to cast Harrow, sacrifice a land.
Search your library for up to two basic land cards and put them onto the battlefield. Then shuffle your library.";""
"Infernal Contract";"7E";"R";"B";"BBB";"";"Sorcery";"Draw four cards. You lose half your life, rounded up.";""
"Infernal Contract";"6E";"R";"B";"BBB";"";"Sorcery";"Draw four cards. You lose half your life, rounded up.";""
"Infernal Contract";"MI";"R";"B";"BBB";"";"Sorcery";"Draw four cards. You lose half your life, rounded up.";""
"Melee";"IA";"U";"R";"4R";"";"Instant";"Cast Melee only during your turn and only during combat before blockers are declared.
You choose which creatures block this combat and how those creatures block.
Whenever a creature attacks and isn’t blocked this combat, untap it and remove it from combat.";""
"Meltdown";"US";"U";"R";"XR";"";"Sorcery";"Destroy each artifact with converted mana cost X or less.";""
"Melting";"IA";"U";"R";"3R";"";"Enchantment";"All lands are no longer snow.";""
"Memory Crystal";"EX";"R";"Art";"3";"";"Artifact";"Buyback costs cost %2 less.";""
"Scrying Glass";"UD";"R";"Art";"2";"";"Artifact";"%3, %T: Choose a number greater than 0 and a color. Target opponent reveals his or her hand. If that opponent reveals exactly the chosen number of cards of the chosen color, you draw a card.";""
"Sculpting Steel";"MR";"R";"Art";"3";"";"Artifact";"You may have Sculpting Steel enter the battlefield as a copy of any artifact on the battlefield.";""
"Sea Kings' Blessing";"LG";"U";"U";"U";"";"Instant";"Any number of target creatures become blue until end of turn.";""
"Howl from Beyond";"R";"C";"B";"XB";"";"Instant";"Target creature gets +X/+0 until end of turn.";""
"Howl from Beyond";"4E";"C";"B";"XB";"";"Instant";"Target creature gets +X/+0 until end of turn.";""
"Howl from Beyond";"IA";"C";"B";"XB";"";"Instant";"Target creature gets +X/+0 until end of turn.";""
"Howl from Beyond";"U";"C";"B";"XB";"";"Instant";"Target creature gets +X/+0 until end of turn.";""
"Howl from Beyond";"5E";"C";"B";"XB";"";"Instant";"Target creature gets +X/+0 until end of turn.";""
"Howl from Beyond";"7E";"C";"B";"XB";"";"Instant";"Target creature gets +X/+0 until end of turn.";""
"Howl from Beyond";"6E";"C";"B";"XB";"";"Instant";"Target creature gets +X/+0 until end of turn.";""
"Howl from Beyond";"B";"C";"B";"XB";"";"Instant";"Target creature gets +X/+0 until end of turn.";""
"Updraft";"5E";"C";"U";"1U";"";"Instant";"Target creature gains flying until end of turn.
Draw a card at the beginning of the next turn’s upkeep.";""
"Upheaval";"OD";"R";"U";"4UU";"";"Sorcery";"Return all permanents to their owners’ hands.";""
"Uphill Battle";"MM";"U";"R";"2R";"";"Enchantment";"Creatures played by your opponents enter the battlefield tapped.";""
"Upwelling";"SC";"R";"G";"3G";"";"Enchantment";"Mana pools don’t empty as steps and phases end.";""
"Invulnerability";"TE";"U";"W";"1W";"";"Instant";"Buyback %3 #(You may pay an additional %3 as you cast this spell. If you do, put this card into your hand as it resolves.)#
The next time a source of your choice would deal damage to you this turn, prevent that damage.";""
"Iron Lance";"MM";"U";"Art";"2";"";"Artifact";"%3, %T: Target creature gains first strike until end of turn.";""
"Iron Maiden";"UL";"R";"Art";"3";"";"Artifact";"At the beginning of each opponent’s upkeep, Iron Maiden deals X damage to that player, where X is the number of cards in his or her hand minus 4.";""
"Iron Star";"R";"U";"Art";"1";"";"Artifact";"Whenever a player casts a red spell, you may pay %1. If you do, you gain 1 life.";""
"Forest (2)";"MI";"C";"Lnd";"";"";"Basic Land - Forest";"";""
"Forest (3)";"P2";"C";"Lnd";"";"";"Basic Land - Forest";"";""
"Swamp (4)";"MM";"C";"Lnd";"";"";"Basic Land - Swamp";"";""
"Swamp (4)";"OD";"C";"Lnd";"";"";"Basic Land - Swamp";"";""
"Swamp (1)";"IN";"C";"Lnd";"";"";"Basic Land - Swamp";"";""
"Swamp (3)";"IN";"C";"Lnd";"";"";"Basic Land - Swamp";"";""
"Swamp (2)";"MM";"C";"Lnd";"";"";"Basic Land - Swamp";"";""
"Starstorm";"ON";"R";"R";"XRR";"";"Instant";"Starstorm deals X damage to each creature.
Cycling %3 #(%3, Discard this card: Draw a card.)#";""
"Volrath's Stronghold";"SH";"R";"Lnd";"";"";"Legendary Land";"%T: Add %1 to your mana pool.
%1%B, %T: Put target creature card from your graveyard on top of your library.";""
"Voltaic Key";"US";"U";"Art";"1";"";"Artifact";"%1, %T: Untap target artifact.";""
"Voodoo Doll";"LG";"R";"Art";"6";"";"Artifact";"At the beginning of your upkeep, put a pin counter on Voodoo Doll.
At the beginning of your end step, if Voodoo Doll is untapped, destroy Voodoo Doll and it deals damage to you equal to the number of pin counters on it.
%X%X, %T: Voodoo Doll deals damage equal to the number of pin counters on it to target creature or player. X is the number of pin counters on Voodoo Doll.";""
"Voodoo Doll";"CH";"U";"Art";"6";"";"Artifact";"At the beginning of your upkeep, put a pin counter on Voodoo Doll.
At the beginning of your end step, if Voodoo Doll is untapped, destroy Voodoo Doll and it deals damage to you equal to the number of pin counters on it.
%X%X, %T: Voodoo Doll deals damage equal to the number of pin counters on it to target creature or player. X is the number of pin counters on Voodoo Doll.";""
"Opportunity";"UL";"U";"U";"4UU";"";"Instant";"Target player draws four cards.";""
"Opposition";"UD";"R";"U";"2UU";"";"Enchantment";"Tap an untapped creature you control: Tap target artifact, creature, or land.";""
"Path of Peace";"PT";"C";"W";"3W";"";"Sorcery";"Destroy target creature. Its owner gains 4 life.";""
"Path of Peace";"ST";"C";"W";"3W";"";"Sorcery";"Destroy target creature. Its owner gains 4 life.";""
"Path of Peace";"P2";"C";"W";"3W";"";"Sorcery";"Destroy target creature. Its owner gains 4 life.";""
"Path of Peace";"US";"C";"W";"3W";"";"Sorcery";"Destroy target creature. Its owner gains 4 life.";""
"Patriarch's Bidding";"ON";"R";"B";"3BB";"";"Sorcery";"Each player chooses a creature type. Each player returns all creature cards of a type chosen this way from his or her graveyard to the battlefield.";""
"Patriarch's Desire";"OD";"C";"B";"3B";"";"Enchantment - Aura";"Enchant creature
Enchanted creature gets +2/-2.
#Threshold# — Enchanted creature gets an additional +2/-2 as long as seven or more cards are in your graveyard.";""
"Pattern of Rebirth";"UD";"R";"G";"3G";"";"Enchantment - Aura";"Enchant creature
When enchanted creature dies, that creature’s controller may search his or her library for a creature card and put that card onto the battlefield. If that player does, he or she shuffles his or her library.";""
"Paupers' Cage";"MI";"R";"Art";"3";"";"Artifact";"At the beginning of each opponent’s upkeep, if that player has two or fewer cards in hand, Paupers’ Cage deals 2 damage to him or her.";""
"Pay No Heed";"TO";"C";"W";"W";"";"Instant";"Prevent all damage a source of your choice would deal this turn.";""
"Peace and Quiet";"UL";"U";"W";"1W";"";"Instant";"Destroy two target enchantments.";""
"Peace of Mind";"EX";"U";"W";"1W";"";"Enchantment";"%W, Discard a card: You gain 3 life.";""
"Mobilization";"ON";"R";"W";"2W";"";"Enchantment";"Soldier creatures have vigilance. #(Attacking doesn’t cause them to tap.)#
%2%W: Put a 1/1 white Soldier creature token onto the battlefield.";""
"In the Web of War";"BOK";"R";"R";"3RR";"";"Enchantment";"Whenever a creature enters the battlefield under your control, it gets +2/+0 and gains haste until end of turn.";""
"Ire of Kaminari";"BOK";"C";"R";"3R";"";"Instant - Arcane";"Ire of Kaminari deals damage to target creature or player equal to the number of Arcane cards in your graveyard.";""
"Mirrodin's Core";"DS";"U";"Lnd";"";"";"Land";"%T: Add %1 to your mana pool.
%T: Put a charge counter on Mirrodin’s Core.
%T, Remove a charge counter from Mirrodin’s Core: Add one mana of any color to your mana pool.";""
"Mirror Mirror";"UG";"R";"Art";"7";"";"Artifact";"Mirror Mirror comes into play tapped.
%7, %T, Sacrifice Mirror Mirror: At end of turn, exchange life totals with target player and exchange all cards in play that you control, and all cards in your hand, library, and graveyard, with that player until end of game.";""
"Mirror Strike";"PY";"U";"W";"3W";"";"Instant";"All combat damage that would be dealt to you this turn by target unblocked creature is dealt to its controller instead.";""
"Mirror Universe";"LG";"R";"Art";"6";"";"Artifact";"%T, Sacrifice Mirror Universe: Exchange life totals with target opponent. Activate this ability only during your upkeep.";""
"Island (2)";"MM";"C";"Lnd";"";"";"Basic Land - Island";"";""
"Island (4)";"6E";"C";"Lnd";"";"";"Basic Land - Island";"";""
"Island (3)";"6E";"C";"Lnd";"";"";"Basic Land - Island";"";""
"Island (2)";"6E";"C";"Lnd";"";"";"Basic Land - Island";"";""
"Healer's Headdress";"FD";"C";"Art";"2";"";"Artifact - Equipment";"Equipped creature gets +0/+2 and has “%T: Prevent the next 1 damage that would be dealt to target creature or player this turn.”
%W%W: Attach Healer’s Headdress to target creature you control.
Equip %1 #(%1: Attach to target creature you control. Equip only as a sorcery.)#";""
"Heliophial";"FD";"C";"Art";"5";"";"Artifact";"Sunburst #(This enters the battlefield with a charge counter on it for each color of mana spent to cast it.)#
%2, Sacrifice Heliophial: Heliophial deals damage equal to the number of charge counters on it to target creature or player.";""
