Name	Edition	Rarity	Cost	P/T	Type	Text	Flavor
Saprazzan Skerry	MM	C			Land	"Saprazzan Skerry enters the battlefield tapped with two depletion counters on it.
%T, Remove a depletion counter from Saprazzan Skerry: Add %U%U to your mana pool. If there are no depletion counters on Saprazzan Skerry, sacrifice it."	
Scorched Ruins	WL	R			Land	"If Scorched Ruins would enter the battlefield, sacrifice two untapped lands instead. If you do, put Scorched Ruins onto the battlefield. If you donﾒt, put it into its ownerﾒs graveyard.
%T: Add %4 to your mana pool."	
Mana Crypt	BIN		0		Artifact	"At the beginning of your upkeep, flip a coin. If you lose the flip, Mana Crypt deals 3 damage to you.
%T: Add %2 to your mana pool."	
Incinerate	DLM		1R		Instant	Incinerate deals 3 damage to target creature or player. A creature dealt damage this way canﾒt be regenerated this turn.	
Invisibility	B	C	UU		Enchantment - Aura	"Enchant creature
Enchanted creature canﾒt be blocked except by Walls."	
Invisibility	U	C	UU		Enchantment - Aura	"Enchant creature
Enchanted creature canﾒt be blocked except by Walls."	
Invoke Prejudice	LG	R	UUUU		Enchantment	Whenever an opponent casts a creature spell that doesnﾒt share a color with a creature you control, counter that spell unless that player pays %X, where X is its converted mana cost.	
Reverse Damage	5	R	1WW		Instant	The next time a source of your choice would deal damage to you this turn, prevent that damage. You gain life equal to the damage prevented this way.	
Mercadian Atlas	MM	R	5		Artifact	At the beginning of your end step, if you didnﾒt play a land this turn, you may draw a card.	
Mercadian Bazaar	MM	U			Land	"Mercadian Bazaar enters the battlefield tapped.
%T: Put a storage counter on Mercadian Bazaar.
%T, Remove any number of storage counters from Mercadian Bazaar: Add %R to your mana pool for each storage counter removed this way."	
Mercadian Lift	MM	R	2		Artifact	"%1, %T: Put a winch counter on Mercadian Lift.
%T, Remove X winch counters from Mercadian Lift: You may put a creature card with converted mana cost X from your hand onto the battlefield."	
Mercadia's Downfall	MM	U	2R		Instant	Each attacking creature gets +1/+0 until end of turn for each nonbasic land defending player controls.	
Midnight Ritual	MM	R	X2B		Sorcery	Exile X target creature cards from your graveyard. For each creature card exiled this way, put a 2/2 black Zombie creature token onto the battlefield.	
Midsummer Revel	US	R	3GG		Enchantment	"At the beginning of your upkeep, you may put a verse counter on Midsummer Revel.
%G, Sacrifice Midsummer Revel: Put X 3/3 green Beast creature tokens onto the battlefield, where X is the number of verse counters on Midsummer Revel."	
Might of Oaks	UL	R	3G		Instant	Target creature gets +7/+7 until end of turn.	
Might of Oaks	8	R	3G		Instant	Target creature gets +7/+7 until end of turn.	
Forbid	EX	U	1UU		Instant	"BuybackﾗDiscard two cards. #(You may discard two cards in addition to any other costs as you cast this spell. If you do, put this card into your hand as it resolves.)#
Counter target spell."	
Forbidden Crypt	6	R	3BB		Enchantment	"If you would draw a card, return a card from your graveyard to your hand instead. If you canﾒt, you lose the game.
If a card would be put into your graveyard from anywhere, exile that card instead."	
Forbidden Crypt	MI	R	3BB		Enchantment	"If you would draw a card, return a card from your graveyard to your hand instead. If you canﾒt, you lose the game.
If a card would be put into your graveyard from anywhere, exile that card instead."	
Bounty of the Hunt	AL	U	3GG		Instant	"You may exile a green card from your hand rather than pay Bounty of the Huntﾒs mana cost.
Distribute three +1/+1 counters among one, two, or three target creatures. For each +1/+1 counter you put on a creature this way, remove a +1/+1 counter from that creature at the beginning of the next cleanup step."	
Bounty of the Hunt	DM	U	3GG		Instant	"You may exile a green card from your hand rather than pay Bounty of the Huntﾒs mana cost.
Distribute three +1/+1 counters among one, two, or three target creatures. For each +1/+1 counter you put on a creature this way, remove a +1/+1 counter from that creature at the beginning of the next cleanup step."	
Leeches	HL	U	1WW		Sorcery	Target player loses all poison counters. Leeches deals that much damage to that player.	
Lure	8	U	1GG		Enchantment - Aura	"Enchant creature
All creatures able to block enchanted creature do so."	
Lure	IA	U	1GG		Enchantment - Aura	"Enchant creature
All creatures able to block enchanted creature do so."	
Lure	7	U	1GG		Enchantment - Aura	"Enchant creature
All creatures able to block enchanted creature do so."	
Lure	A	U	1GG		Enchantment - Aura	"Enchant creature
All creatures able to block enchanted creature do so."	
Lure	R	U	1GG		Enchantment - Aura	"Enchant creature
All creatures able to block enchanted creature do so."	
Lure	5	U	1GG		Enchantment - Aura	"Enchant creature
All creatures able to block enchanted creature do so."	
Lure	MM	U	1GG		Enchantment - Aura	"Enchant creature
All creatures able to block enchanted creature do so."	
Lure	4	U	1GG		Enchantment - Aura	"Enchant creature
All creatures able to block enchanted creature do so."	
Lure	U	U	1GG		Enchantment - Aura	"Enchant creature
All creatures able to block enchanted creature do so."	
Lure	6	U	1GG		Enchantment - Aura	"Enchant creature
All creatures able to block enchanted creature do so."	
Lure	B	U	1GG		Enchantment - Aura	"Enchant creature
All creatures able to block enchanted creature do so."	
Lure of Prey	MI	R	2GG		Instant	"Cast Lure of Prey only if an opponent cast a creature spell this turn.
You may put a green creature card from your hand onto the battlefield."	
Metamorphose	SC	U	1U		Instant	Put target permanent an opponent controls on top of its ownerﾒs library. That opponent may put an artifact, creature, enchantment, or land card from his or her hand onto the battlefield.	
Metamorphosis	AN	C	G		Sorcery	"As an additional cost to cast Metamorphosis, sacrifice a creature.
Add X mana of any one color to your mana pool, where X is one plus the sacrificed creatureﾒs converted mana cost. Spend this mana only to cast creature spells."	
Metamorphosis	CH	C	G		Sorcery	"As an additional cost to cast Metamorphosis, sacrifice a creature.
Add X mana of any one color to your mana pool, where X is one plus the sacrificed creatureﾒs converted mana cost. Spend this mana only to cast creature spells."	
Chill	TE	U	1U		Enchantment	Red spells cost %2 more to cast.	
Chill	6	U	1U		Enchantment	Red spells cost %2 more to cast.	
Steal Artifact	R	U	2UU		Enchantment - Aura	"Enchant artifact
You control enchanted artifact."	
Steal Artifact	7	U	2UU		Enchantment - Aura	"Enchant artifact
You control enchanted artifact."	
Gravebind	IA	R	B		Instant	"Target creature canﾒt be regenerated this turn.
Draw a card at the beginning of the next turnﾒs upkeep."	
Urza's Tower (3)	CH	C			Land - Urza's Tower	%T: Add %1 to your mana pool. If you control an Urzaﾒs Mine and an Urzaﾒs Power-Plant, add %3 to your mana pool instead.	
Urza's Tower (4)	CH	C			Land - Urza's Tower	%T: Add %1 to your mana pool. If you control an Urzaﾒs Mine and an Urzaﾒs Power-Plant, add %3 to your mana pool instead.	
Ancient Tomb	TE	U			Land	%T: Add %2 to your mana pool. Ancient Tomb deals 2 damage to you.	
City of Shadows	DK	U			Land	"%T, Exile a creature you control: Put a storage counter on City of Shadows.
%T: Add %X to your mana pool, where X is the number of storage counters on City of Shadows."	
City of Traitors	EX	R			Land	"When you play another land, sacrifice City of Traitors.
%T: Add %2 to your mana pool."	
Hickory Woodlot	MM	C			Land	"Hickory Woodlot enters the battlefield tapped with two depletion counters on it.
%T, Remove a depletion counter from Hickory Woodlot: Add %G%G to your mana pool. If there are no depletion counters on Hickory Woodlot, sacrifice it."	
Vigilance	CHK	C	W		Enchantment - Aura	"Enchant creature
Enchanted creature has vigilance. #(Attacking doesnﾒt cause it to tap.)#"	
Drawn Together	UNH	R	2WW		Enchantment	"As Drawn Together comes into play, choose an artist.
Creatures by the chosen artist get +2/+2."	
Duh	UNH	C	B		Instant	Destroy target creature with reminder text. #(Reminder text is any italicized text in parentheses that explains rules you already know.)#	
Mouth to Mouth	UNH	U	3U		Sorcery	You and target opponent have a breath-holding contest. If you win, you gain control of target creature that player controls.	
Staying Power	UNH	R	2W		Enchantment	As long as Staying Power is in play, ﾓuntil end of turnﾔ and ﾓthis turnﾔ effects donﾒt end.	
Glacial Ray	ARE		1R		Instant - Arcane	"Glacial Ray deals 2 damage to target creature or player.
Splice onto Arcane %1%R #(As you cast an Arcane spell, you may reveal this card from your hand and pay its splice cost. If you do, add this cardﾒs effects to that spell.)#"	
Foresight (1)	AL	C	1U		Sorcery	"Search your library for three cards, exile them, then shuffle your library.
Draw a card at the beginning of the next turnﾒs upkeep."	
Foresight (2)	AL	C	1U		Sorcery	"Search your library for three cards, exile them, then shuffle your library.
Draw a card at the beginning of the next turnﾒs upkeep."	
Forest (1)	8	C			Basic Land - Forest		
Fountain of Youth	6	U	0		Artifact	%2, %T: You gain 1 life.	
Fountain of Youth	5	U	0		Artifact	%2, %T: You gain 1 life.	
Fountain of Youth	CH	C	0		Artifact	%2, %T: You gain 1 life.	
Blossoming Wreath	WL	C	G		Instant	You gain life equal to the number of creature cards in your graveyard.	
Blue Elemental Blast	A	C	U		Instant	Choose one ﾗ Counter target red spell; or destroy target red permanent.	
Holy Strength	8	C	W		Enchantment - Aura	"Enchant creature
Enchanted creature gets +1/+2."	
Disenchant	5	C	1W		Instant	Destroy target artifact or enchantment.	
Disenchant	R	C	1W		Instant	Destroy target artifact or enchantment.	
Disenchant	A	C	1W		Instant	Destroy target artifact or enchantment.	
Disenchant	U	C	1W		Instant	Destroy target artifact or enchantment.	
Disenchant	6	C	1W		Instant	Destroy target artifact or enchantment.	
Disenchant	4	C	1W		Instant	Destroy target artifact or enchantment.	
Disenchant	US	C	1W		Instant	Destroy target artifact or enchantment.	
Disenchant	MI	C	1W		Instant	Destroy target artifact or enchantment.	
Disenchant	ARE		1W		Instant	Destroy target artifact or enchantment.	
Disharmony	LG	R	2R		Instant	"Cast Disharmony only during combat before blockers are declared.
Untap target attacking creature and remove it from combat. Gain control of that creature until end of turn."	
Disintegrate	A	C	XR		Sorcery	Disintegrate deals X damage to target creature or player. That creature canﾒt be regenerated this turn. If the creature would die this turn, exile it instead.	
Disintegrate	U	C	XR		Sorcery	Disintegrate deals X damage to target creature or player. That creature canﾒt be regenerated this turn. If the creature would die this turn, exile it instead.	
Disintegrate	R	C	XR		Sorcery	Disintegrate deals X damage to target creature or player. That creature canﾒt be regenerated this turn. If the creature would die this turn, exile it instead.	
Mountain (1)	PT	C			Basic Land - Mountain		
Mountain (1996)	ARE				Basic Land - Mountain		
Empty the Warrens	TSP	C	3R		Sorcery	"Put two 1/1 red Goblin creature tokens onto the battlefield.
Storm #(When you cast this spell, copy it for each spell cast before it this turn.)#"	
Eternity Snare	TSP	C	5U		Enchantment - Aura	"Enchant creature
When Eternity Snare enters the battlefield, draw a card.
Enchanted creature doesnﾒt untap during its controllerﾒs untap step."	
Evangelize	TSP	R	4W		Sorcery	"Buyback %2%W%W #(You may pay an additional %2%W%W as you cast this spell. If you do, put this card into your hand as it resolves.)#
Gain control of target creature of an opponentﾒs choice that he or she controls."	
Fallen Ideal	TSP	U	2B		Enchantment - Aura	"Enchant creature
Enchanted creature has flying and ﾓSacrifice a creature: This creature gets +2/+1 until end of turn.ﾔ
When Fallen Ideal is put into a graveyard from the battlefield, return Fallen Ideal to its ownerﾒs hand."	
Feebleness	TSP	C	1B		Enchantment - Aura	"Flash #(You may cast this spell any time you could cast an instant.)#
Enchant creature
Enchanted creature gets -2/-1."	
Haunting Hymn	TSP	U	4BB		Instant	Target player discards two cards. If you cast this spell during your main phase, that player discards four cards instead.	
Hivestone	TSP	R	2		Artifact	Creatures you control are Slivers in addition to their other creature types.	
Hypergenesis	TSP	R			Sorcery	"Suspend 3ﾗ%1%G%G #(Rather than cast this card from your hand, pay %1%G%G and exile it with three time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost.)#
Starting with you, each player may put an artifact, creature, enchantment, or land card from his or her hand onto the battlefield. Repeat this process until no one puts a card onto the battlefield."	
Ignite Memories	TSP	U	4R		Sorcery	"Target player reveals a card at random from his or her hand. Ignite Memories deals damage to that player equal to that cardﾒs converted mana cost.
Storm #(When you cast this spell, copy it for each spell cast before it this turn. You may choose new targets for the copies.)#"	
Neurok Hoversail	MR	C	1		Artifact - Equipment	"Equipped creature has flying.
Equip %2 #(%2: Attach to target creature you control. Equip only as a sorcery. This card enters the battlefield unattached and stays on the battlefield if the creature leaves.)#"	
Trickery Charm	ON	C	U		Instant	Choose one ﾗ Target creature gains flying until end of turn; or target creature becomes the creature type of your choice until end of turn; or look at the top four cards of your library, then put them back in any order.	
Balduvian Trading Post	AL	R			Land	"If Balduvian Trading Post would enter the battlefield, sacrifice an untapped Mountain instead. If you do, put Balduvian Trading Post onto the battlefield. If you donﾒt, put it into its ownerﾒs graveyard.
%T: Add %1%R to your mana pool.
%1, %T: Balduvian Trading Post deals 1 damage to target attacking creature."	
Scroll Rack	TE	R	2		Artifact	%1, %T: Exile any number of cards from your hand face down. Put that many cards from the top of your library into your hand. Then look at the exiled cards and put them on top of your library in any order.	
Scrounge	DS	U	2B		Sorcery	Target opponent chooses an artifact card in his or her graveyard. Put that card onto the battlefield under your control.	
Plains (1)	P3	C			Basic Land - Plains		
Plains (4)	US	C			Basic Land - Plains		
Plains (3)	US	C			Basic Land - Plains		
Thieves' Auction	MM	R	4RRR		Sorcery	Exile all nontoken permanents. Starting with you, each player chooses one of the exiled cards and puts it onto the battlefield tapped under his or her control. Repeat this process until all cards exiled this way have been chosen.	
Thieves' Auction	8	R	4RRR		Sorcery	Exile all nontoken permanents. Starting with you, each player chooses one of the exiled cards and puts it onto the battlefield tapped under his or her control. Repeat this process until all cards exiled this way have been chosen.	
Think Tank	OD	U	2U		Enchantment	At the beginning of your upkeep, look at the top card of your library. You may put that card into your graveyard.	
Thirst	MI	C	2U		Enchantment - Aura	"Enchant creature
When Thirst enters the battlefield, tap enchanted creature.
Enchanted creature doesnﾒt untap during its controllerﾒs untap step.
At the beginning of your upkeep, sacrifice Thirst unless you pay %U."	
Thirst for Knowledge	MR	U	2U		Instant	Draw three cards. Then discard two cards unless you discard an artifact card.	
Rakdos Carnarium	DIS	C			Land	"Rakdos Carnarium enters the battlefield tapped.
When Rakdos Carnarium enters the battlefield, return a land you control to its ownerﾒs hand.
%T: Add %B%R to your mana pool."	
Rakdos Riteknife	DIS	R	2		Artifact - Equipment	"Equipped creature gets +1/+0 for each blood counter on Rakdos Riteknife and has ﾓ%T, Sacrifice a creature: Put a blood counter on Rakdos Riteknife.ﾔ
%B%R, Sacrifice Rakdos Riteknife: Target player sacrifices a permanent for each blood counter on Rakdos Riteknife.
Equip %2"	
Rakdos Signet	DIS	C	2		Artifact	%1, %T: Add %B%R to your mana pool.	
Research/Development	DIS	R	GU/3UR		Instant/Instant	"Choose up to four cards you own from outside the game and shuffle them into your library.
//
Put a 3/1 red Elemental creature token onto the battlefield unless any opponent has you draw a card. Repeat this process two more times."	
Riot Spikes	DIS	C	%K		Enchantment - Aura	"#(%K can be paid with either %B or %R.)#
Enchant creature
Enchanted creature gets +2/-1."	
Rise/Fall	DIS	U	UB/BR		Sorcery/Sorcery	"Return target creature card from a graveyard and target creature on the battlefield to their ownersﾒ hands.
//
Target player reveals two cards at random from his or her hand, then discards each nonland card revealed this way."	
Rix Maadi, Dungeon Palace	DIS	U			Land	"%T: Add %1 to your mana pool.
%1%B%R, %T: Each player discards a card. Activate this ability only any time you could cast a sorcery."	
Seal of Doom	DIS	C	2B		Enchantment	Sacrifice Seal of Doom: Destroy target nonblack creature. It canﾒt be regenerated.	
Seal of Fire	DIS	C	R		Enchantment	Sacrifice Seal of Fire: Seal of Fire deals 2 damage to target creature or player.	
Shielding Plax	DIS	C	2%S		Enchantment - Aura	"#(%S can be paid with either %G or %U.)#
Enchant creature
When Shielding Plax enters the battlefield, draw a card.
Enchanted creature canﾒt be the target of spells or abilities your opponents control."	
Simic Growth Chamber	DIS	C			Land	"Simic Growth Chamber enters the battlefield tapped.
When Simic Growth Chamber enters the battlefield, return a land you control to its ownerﾒs hand.
%T: Add %G%U to your mana pool."	
Urza's Rage	IN	R	2R		Instant	"Kicker %8%R #(You may pay an additional %8%R as you cast this spell.)#
Urzaﾒs Rage canﾒt be countered by spells or abilities.
Urzaﾒs Rage deals 3 damage to target creature or player. If Urzaﾒs Rage was kicked, instead it deals 10 damage to that creature or player and the damage canﾒt be prevented."	
Urza's Tower	8	U			Land - Urza's Tower	%T: Add %1 to your mana pool. If you control an Urzaﾒs Mine and an Urzaﾒs Power-Plant, add %3 to your mana pool instead.	
Shoving Match	MM	U	2U		Instant	Until end of turn, all creatures gain ﾓ%T: Tap target creature.ﾔ	
Show and Tell	US	R	2U		Sorcery	Each player may put an artifact, creature, enchantment, or land card from his or her hand onto the battlefield.	
Shunt	DS	R	1RR		Instant	Change the target of target spell with a single target.	
Sick and Tired	UL	C	2B		Instant	Two target creatures each get -1/-1 until end of turn.	
Sicken	US	C	B		Enchantment - Aura	"Enchant creature
Enchanted creature gets -1/-1.
Cycling %2 #(%2, Discard this card: Draw a card.)#"	
Sickening Dreams	TO	U	1B		Sorcery	"As an additional cost to cast Sickening Dreams, discard X cards.
Sickening Dreams deals X damage to each creature and each player."	
Soul Shred	PT	C	3BB		Sorcery	Soul Shred deals 3 damage to target nonblack creature. You gain 3 life.	
Steam Blast	US	U	2R		Sorcery	Steam Blast deals 2 damage to each creature and each player.	
Errant Minion	IA	C	2U		Enchantment - Aura	"Enchant creature
At the beginning of the upkeep of enchanted creatureﾒs controller, that player may pay any amount of mana. Errant Minion deals 2 damage to that player. Prevent X of that damage, where X is the amount of mana that player paid this way."	
Errantry	5	C	1R		Enchantment - Aura	"Enchant creature
Enchanted creature gets +3/+0 and can only attack alone."	
Errantry	IA	C	1R		Enchantment - Aura	"Enchant creature
Enchanted creature gets +3/+0 and can only attack alone."	
Erratic Explosion	ON	C	2R		Sorcery	Choose target creature or player. Reveal cards from the top of your library until you reveal a nonland card. Erratic Explosion deals damage equal to that cardﾒs converted mana cost to that creature or player. Put the revealed cards on the bottom of your library in any order.	
Endbringer's Revel	PY	U	2B		Enchantment	%4: Return target creature card from a graveyard to its ownerﾒs hand. Any player may activate this ability but only any time he or she could cast a sorcery.	
Endemic Plague	ON	R	3B		Sorcery	"As an additional cost to cast Endemic Plague, sacrifice a creature.
Destroy all creatures that share a creature type with the sacrificed creature. They canﾒt be regenerated."	
Endless Scream	TE	C	XB		Enchantment - Aura	"Enchant creature
Endless Scream enters the battlefield with X scream counters on it.
Enchanted creature gets +1/+0 for each scream counter on Endless Scream."	
Sunken City	4	C	UU		Enchantment	"At the beginning of your upkeep, sacrifice Sunken City unless you pay %U%U.
Blue creatures get +1/+1."	
Sunken Field	PY	U	1U		Enchantment - Aura	"Enchant land
Enchanted land has ﾓ%T: Counter target spell unless its controller pays %1.ﾔ"	
Sunken Hope	PS	R	3UU		Enchantment	At the beginning of each playerﾒs upkeep, that player returns a creature he or she controls to its ownerﾒs hand.	
Sunstone	IA	U	3		Artifact	%2, Sacrifice a snow land: Prevent all combat damage that would be dealt this turn.	
Pale Moon	NE	R	1U		Instant	Until end of turn, if a player taps a nonbasic land for mana, it produces colorless mana instead of any other type.	
Zombify	9	U	3B		Sorcery	Return target creature card from your graveyard to the battlefield.	
Zur's Weirding	9	R	3U		Enchantment	"Players play with their hands revealed.
If a player would draw a card, he or she reveals it instead. Then any other player may pay 2 life. If a player does, put that card into its ownerﾒs graveyard. Otherwise, that player draws a card."	
Demonic Torment	LG	U	2B		Enchantment - Aura	"Enchant creature
Enchanted creature canﾒt attack.
Prevent all combat damage that would be dealt by enchanted creature."	
Demonic Tutor	A	U	1B		Sorcery	Search your library for a card and put that card into your hand. Then shuffle your library.	
Demonic Tutor	B	U	1B		Sorcery	Search your library for a card and put that card into your hand. Then shuffle your library.	
Demonic Tutor	R	U	1B		Sorcery	Search your library for a card and put that card into your hand. Then shuffle your library.	
Demonic Tutor	U	U	1B		Sorcery	Search your library for a card and put that card into your hand. Then shuffle your library.	
Wayfarer's Bauble	FD	C	1		Artifact	%2, %T, Sacrifice Wayfarerﾒs Bauble: Search your library for a basic land card and put that card onto the battlefield tapped. Then shuffle your library.	
Lightning Rift	FNM		1R		Enchantment	Whenever a player cycles a card, you may pay %1. If you do, Lightning Rift deals 2 damage to target creature or player.	
Helm of Kaldra	PRE		3		Legendary Artifact - Equipment	"Equipped creature has first strike, trample, and haste.
%1: If you control Equipment named Helm of Kaldra, Sword of Kaldra, and Shield of Kaldra, put a legendary 4/4 colorless Avatar creature token named Kaldra onto the battlefield and attach those Equipment to it.
Equip %2"	
Powder Keg	MPR		2		Artifact	"At the beginning of your upkeep, you may put a fuse counter on Powder Keg.
%T, Sacrifice Powder Keg: Destroy each artifact and creature with converted mana cost equal to the number of fuse counters on Powder Keg."	
Grafted Wargear	FD	U	3		Artifact - Equipment	"Equipped creature gets +3/+2.
Whenever Grafted Wargear becomes unattached from a permanent, sacrifice that permanent.
Equip %0 #(%0: Attach to target creature you control. Equip only as a sorcery.)#"	
Treetop Village	FNM				Land	"Treetop Village enters the battlefield tapped.
%T: Add %G to your mana pool.
%1%G: Treetop Village becomes a 3/3 green Ape creature with trample until end of turn. Itﾒs still a land. #(If it would assign enough damage to its blockers to destroy them, you may have it assign the rest of its damage to defending player or planeswalker.)#"	
Synod Sanctum	MR	U	1		Artifact	"%2, %T: Exile target permanent you control.
%2, Sacrifice Synod Sanctum: Return all cards exiled with Synod Sanctum to the battlefield under your control."	
Disenchant	IA	C	1W		Instant	Destroy target artifact or enchantment.	
Disenchant	B	C	1W		Instant	Destroy target artifact or enchantment.	
Forest (1)	7	C			Basic Land - Forest		
Forest (1)	P3	C			Basic Land - Forest		
Forest (3)	PT	C			Basic Land - Forest		
Forest (2)	P3	C			Basic Land - Forest		
Forest (3)	5	C			Basic Land - Forest		
Forest (3)	DM	C			Basic Land - Forest		
Forest (2)	US	C			Basic Land - Forest		
Forest (3)	P3	C			Basic Land - Forest		
Forest (2)	5	C			Basic Land - Forest		
Forest (3)	6	C			Basic Land - Forest		
Forest (2)	DM	C			Basic Land - Forest		
Forest (1)	DM	C			Basic Land - Forest		
Forest (2)	AT	C			Basic Land - Forest		
Forest (1)	5	C			Basic Land - Forest		
Forest	UG	C			Basic Land - Forest		
Quest for the Gemblades	ZEN	U	1G		Enchantment	"Whenever a creature you control deals combat damage to a creature, you may put a quest counter on Quest for the Gemblades.
Remove a quest counter from Quest for the Gemblades and sacrifice it: Put four +1/+1 counters on target creature."	
Relic Crush	ZEN	C	4G		Instant	Destroy target artifact or enchantment and up to one other target artifact or enchantment.	
Savage Silhouette	ZEN	C	2G		Enchantment - Aura	"Enchant creature
Enchanted creature gets +2/+2 and has ﾓ%1%G: Regenerate this creature.ﾔ"	
Summoning Trap	ZEN	R	4GG		Instant - Trap	"If a creature spell you cast this turn was countered by a spell or ability an opponent controlled, you may pay %0 rather than pay Summoning Trapﾒs mana cost.
Look at the top seven cards of your library. You may put a creature card from among them onto the battlefield. Put the rest on the bottom of your library in any order."	
Tanglesap	ZEN	C	1G		Instant	Prevent all combat damage that would be dealt this turn by creatures without trample.	
Mountain	AN	C			Basic Land - Mountain		
Mountain (3)	U	C			Basic Land - Mountain		
Mountain (1)	OD	C			Basic Land - Mountain		
Mountain (1)	BD	C			Basic Land - Mountain		
Mountain (2)	7	C			Basic Land - Mountain		
Mountain (1)	7	C			Basic Land - Mountain		
Aysen Crusader	HL	U	2WW	2+*/2+	Creature - Human Knight	Aysen Crusaderﾒs power and toughness are each equal to 2 plus the number of Soldiers and Warriors you control.	
Tunnel	4	U	R		Instant	Destroy target Wall. It canﾒt be regenerated.	
Tunnel	U	U	R		Instant	Destroy target Wall. It canﾒt be regenerated.	
Turbulent Dreams	TO	R	UU		Sorcery	"As an additional cost to cast Turbulent Dreams, discard X cards.
Return X target nonland permanents to their ownersﾒ hands."	
Turf Wound	IN	C	2R		Instant	"Target player canﾒt play land cards this turn.
Draw a card."	
Turn the Tables	DS	R	3WW		Instant	All combat damage that would be dealt to you this turn is dealt to target attacking creature instead.	
Turn to Dust	MR	C	G		Instant	Destroy target Equipment. Add %G to your mana pool.	
Turnabout	US	U	2UU		Instant	Choose artifact, creature, or land. Tap all untapped permanents of the chosen type target player controls, or untap all tapped permanents of that type that player controls.	
Twiddle	8	C	U		Instant	You may tap or untap target artifact, creature, or land.	
Twiddle	7	C	U		Instant	You may tap or untap target artifact, creature, or land.	
Twiddle	5	C	U		Instant	You may tap or untap target artifact, creature, or land.	
Twiddle	U	C	U		Instant	You may tap or untap target artifact, creature, or land.	
Twiddle	B	C	U		Instant	You may tap or untap target artifact, creature, or land.	
Twiddle	4	C	U		Instant	You may tap or untap target artifact, creature, or land.	
Twiddle	A	C	U		Instant	You may tap or untap target artifact, creature, or land.	
Subdue	LG	C	G		Instant	Prevent all combat damage that would be dealt by target creature this turn. That creature gets +0/+X until end of turn, where X is its converted mana cost.	
Ventifact Bottle	MI	R	3		Artifact	"%X%1, %T: Put X charge counters on Ventifact Bottle. Activate this ability only any time you could cast a sorcery.
At the beginning of your precombat main phase, if Ventifact Bottle has a charge counter on it, tap it and remove all charge counters from it. Add %1 to your mana pool for each charge counter removed this way."	
Verdant Field	PY	U	2G		Enchantment - Aura	"Enchant land
Enchanted land has ﾓ%T: Target creature gets +1/+1 until end of turn.ﾔ"	
Skyshaper	EX	U	2		Artifact	Sacrifice Skyshaper: Creatures you control gain flying until end of turn.	
Skyship Weatherlight	PS	R	4		Legendary Artifact	"When Skyship Weatherlight enters the battlefield, search your library for any number of artifact and/or creature cards and exile them. Then shuffle your library.
%4, %T: Choose a card at random that was exiled with Skyship Weatherlight. Put that card into its ownerﾒs hand."	
Skyship Weatherlight (Alt)	PS	R	4		Legendary Artifact	"When Skyship Weatherlight enters the battlefield, search your library for any number of artifact and/or creature cards and exile them. Then shuffle your library.
%4, %T: Choose a card at random that was exiled with Skyship Weatherlight. Put that card into its ownerﾒs hand."	
Merseine (4)	FE	C	2UU		Enchantment - Aura	"Enchant creature
Merseine enters the battlefield with three net counters on it.
Enchanted creature doesnﾒt untap during its controllerﾒs untap step if Merseine has a net counter on it.
Pay enchanted creatureﾒs mana cost: Remove a net counter from Merseine. Any player may activate this ability, but only if he or she controls the enchanted creature."	
Confiscate	7	U	4UU		Enchantment - Aura	"Enchant permanent #(Target a permanent as you cast this. This card enters the battlefield attached to that permanent.)#
You control enchanted permanent."	
Confiscate	8	U	4UU		Enchantment - Aura	"Enchant permanent #(Target a permanent as you cast this. This card enters the battlefield attached to that permanent.)#
You control enchanted permanent."	
Bog Down	PS	C	2B		Sorcery	"KickerﾗSacrifice two lands. #(You may sacrifice two lands in addition to any other costs as you cast this spell.)#
Target player discards two cards. If Bog Down was kicked, that player discards three cards instead."	
Fowl Play	UG	C	2U		Enchantment - Aura	Enchanted creature loses all abilities and is a 1/1 creature that counts as a Chicken.	
Creature Bond	U	C	1U		Enchantment - Aura	"Enchant creature
When enchanted creature dies, Creature Bond deals damage equal to that creatureﾒs toughness to the creatureﾒs controller."	
Creature Bond	4	C	1U		Enchantment - Aura	"Enchant creature
When enchanted creature dies, Creature Bond deals damage equal to that creatureﾒs toughness to the creatureﾒs controller."	
Creature Bond	B	C	1U		Enchantment - Aura	"Enchant creature
When enchanted creature dies, Creature Bond deals damage equal to that creatureﾒs toughness to the creatureﾒs controller."	
Creature Bond	R	C	1U		Enchantment - Aura	"Enchant creature
When enchanted creature dies, Creature Bond deals damage equal to that creatureﾒs toughness to the creatureﾒs controller."	
Credit Voucher	MM	U	2		Artifact	%2, %T, Sacrifice Credit Voucher: Shuffle any number of cards from your hand into your library, then draw that many cards.	
Plains (3)	OD	C			Basic Land - Plains		
Plains (4)	OD	C			Basic Land - Plains		
Plains (1)	4	C			Basic Land - Plains		
Plains (1)	A	C			Basic Land - Plains		
Plains (2)	P2	C			Basic Land - Plains		
Millstone	AQ	U	2		Artifact	%2, %T: Target player puts the top two cards of his or her library into his or her graveyard.	
Millstone	4	R	2		Artifact	%2, %T: Target player puts the top two cards of his or her library into his or her graveyard.	
Millstone	R	R	2		Artifact	%2, %T: Target player puts the top two cards of his or her library into his or her graveyard.	
Millstone	6	R	2		Artifact	%2, %T: Target player puts the top two cards of his or her library into his or her graveyard.	
